mol_idx seed conf_idx aff
4 2021 0 -6.837
50 2021 2 -7.0465
51 2025 3 -7.22425
52 2021 1 -6.495
53 2021 0 -7.12625
54 2025 8 -8.7
55 2021 19 -9.19525
56 2021 10 -7.54475
57 2021 0 -7.055
58 2021 1 -7.2212499999999995
59 2021 79 -8.5715
5 2021 0 -7.068
60 2025 78 -8.77125
61 2022 0 -7.053
62 2021 0 -6.42575
63 2021 1 -7.238250000000001
64 2021 0 -7.3870000000000005
65 2021 0 -7.316
66 2023 47 -7.968500000000001
67 2021 6 -6.806
68 2021 12 -7.90425
69 2021 13 -8.16675
6 2021 1 -7.0265
70 2021 2 -6.94825
71 2024 31 -7.30375
72 2021 0 -6.85
73 2024 65 -8.46975
74 2023 17 -9.12525
75 2021 3 -7.26175
76 2021 48 -9.42275
77 2021 0 -7.453749999999999
78 2021 1 -7.01525
79 2024 11 -8.358
7 2021 1 -7.00075
80 2021 1 -7.36625
81 2021 2 -7.27325
82 2021 3 -7.3607499999999995
83 2021 5 -6.7565
84 2021 0 -6.82425
85 2021 2 -7.185499999999999
86 2025 48 -9.152000000000001
87 2023 95 -8.2555
88 2021 97 -8.334999999999999
89 2021 42 -7.606
8 2021 1 -7.1217500000000005
90 2022 85 -8.69625
91 2021 25 -7.7915
92 2023 6 -7.31075
93 2021 28 -6.742
94 2024 56 -9.1275
95 2021 3 -7.4735
96 2021 34 -7.858499999999999
97 2021 3 -9.30275
98 2021 0 -7.31975
99 2022 14 -8.281
9 2021 0 -7.06875
ori 2021 4 -7.04525
